0110	[0.0179765771299701, 0.01885599552818486, 1.3565368657145031e-05, 0.1005330840822247, 0.004921252555269596, 0.05587061068844424, 0.03283923984574437, 0.00045425667697038415, 0.09656251393950137, 1.0028296172486402e-05, 0.04772478745987526, 4.251838275867111e-07, 1.5029909764230645e-09, 0.3360700242251092, 0.10926503472760361, 0.008047871083711656, 0.011141878773753356, 0.003340200474625087, 0.1563700614812972, 2.5909760669385613e-06]
0111	[0.04320297903431249, 0.007573519941120901, 0.3265831737688208, 0.029728689597106634, 0.0005101904998848946, 6.065063177075274e-06, 0.15261340386292815, 1.9596893472632344e-07, 0.07173736554609804, 5.270982240732891e-05, 1.8912895743512305e-07, 0.019948554973252413, 3.0974959268531896e-05, 0.0009980722623436507, 7.910987041824409e-05, 0.00102854982307617, 0.32165579208654926, 0.000558916717946067, 0.003494144287086439, 0.020197402786310898]
0011	[2.69289272032342e-06, 3.201542037753672e-05, 0.2760796898541578, 0.02699139405575264, 0.028421082476427422, 0.0010082153159275658, 0.14901125322995318, 0.0060368320578576985, 0.1883896029685777, 1.1787568912673908e-06, 0.03204577155864449, 0.0023260077810668372, 0.00133214323173665, 0.21792453177855164, 0.02481627324833161, 3.65840094114792e-11, 0.0006082471161105056, 0.018128512152087474, 0.026709021898028904, 0.0001355341702144672]
0010	[0.0905103799040512, 0.021311282495166537, 9.287367404511085e-07, 0.00768094620082556, 1.1414534390819094e-07, 0.10483153312552349, 0.002165929582836013, 2.4236151665133214e-05, 0.015571623969015416, 0.2059868779694845, 8.731112172060226e-06, 0.032802252266243635, 0.01040948571833895, 0.003991886454469981, 0.32766515204072155, 0.0005274932766395414, 0.12993487261650513, 8.713970509070558e-06, 0.011518256398845284, 0.035049303864902605]
0031	[0.006191823337899185, 0.018984868188031898, 0.0004997603371678442, 0.012103863515587994, 0.00203275439679109, 0.44265341994811586, 7.256193928790854e-06, 0.01575467084356081, 8.949042957586645e-05, 0.23520902456268034, 0.01072851576169614, 9.449485672453695e-09, 0.08883501703496316, 0.0046230053530326, 0.02367594537798467, 0.005877094078539195, 0.014831851014180277, 4.456995875805645e-07, 0.11758197771763211, 0.00031920675955863354]
0030	[0.03867427472787947, 3.340623614057821e-11, 0.09067484739310762, 0.15905161290359077, 7.49143756379004e-12, 0.04637898222650032, 0.027844541303779044, 0.0004640547979562541, 0.0018758989087683238, 0.1585346404074468, 0.07196934598910275, 3.094559274104272e-08, 0.026516687070918733, 0.005378415004184761, 0.03538484324782738, 0.03875121223461614, 0.2143434055674848, 0.018221994524899133, 0.043674034992169805, 0.022261177713277354]
0121	[0.0020126551087506915, 5.225535858543156e-06, 0.0002832525454371215, 0.0026274671305302195, 0.0014815243589095571, 0.0002773483138988071, 2.1426504372379492e-05, 0.7010799362057974, 0.0006561935671558818, 1.2541001533266643e-05, 0.0006045417801138645, 0.002446592530402165, 5.5341102901925144e-05, 3.910913553177513e-09, 0.0013139812169628855, 2.2265392445230224e-05, 0.004016381396754784, 0.12762774951214864, 0.07311763521630983, 0.08233793766880318]
0003	[0.08977851596657092, 5.294963502669102e-12, 0.0005224418365774756, 2.0218326439740295e-15, 0.15729231632481264, 0.001758719618647798, 0.002128868094791139, 5.946784905851398e-09, 0.49566208128958766, 2.163517974277106e-05, 0.042598222424118905, 0.1741094359286298, 0.00911358126953522, 1.4368210713035448e-05, 1.896076201498571e-09, 0.0004588477400266286, 0.011925069163923342, 0.00318833796695299, 0.0009592727682332922, 0.010468278368978571]
0200	[9.017970191785503e-06, 0.090372959389307, 0.054313265902276836, 3.0097265198265685e-13, 0.1614318692565451, 0.07140691165593528, 0.0033480117433089653, 0.08147836539614209, 0.1074273975650992, 0.0013986706540681372, 0.19220089042668514, 0.005240595074408927, 2.001626463651308e-05, 3.6114820359622593e-07, 0.000613358007566722, 0.02689237897435241, 1.434468364447323e-08, 0.18432298038336917, 0.014304813728501982, 0.00521812211441671]
0201	[2.0877952669645354e-05, 0.000517481533694266, 0.05861176028876953, 0.00014113856161097457, 0.0826208450891705, 0.007593307262421158, 0.02428052186231734, 0.6453977507476225, 0.0005072308921220681, 7.643515931357019e-07, 0.09425829558870684, 0.07160223640315241, 1.4424126806489165e-14, 0.0025788668474296867, 0.0022123835868947854, 0.0005963388374433039, 6.357568138519922e-07, 0.00386349878508582, 0.0051960654979115155, 1.5455632015785375e-10]
